# Part, Quantity per board, LCSC Number, Unit Price, Ext Price (200 boards),
Battery_Holder,1,C964834,0.0930,18.60
LED,5,C693903,0.0492,31.30
Resistor,5,C136900,0.0127,12.70
Battery,1,IKEA-PLATTBOJ,0.1988,39.75

Non-assembled board price:,0.6013
Assembled board price:,1.0127
